time,S_mixed_0Ua,S_mixed_0.125Ua,S_mixed_0.25Ua,S_mixed_0.375Ua,S_mixed_0.5Ua,S_mixed_0.625Ua,S_mixed_0.75Ua,S_mixed_0.875Ua,S_mixed_1.0Ua
9.06,0.4356314,0.443684985,0.465074288,0.487818109,0.549827761,0.570146239,0.635875477,0.780723855,0.91035769
9.12,0.435878007,0.44660578,0.466442023,0.488803852,0.550790643,0.57354975,0.640527896,0.782070873,0.911282637
9.18,0.438969889,0.447111066,0.465760351,0.489570985,0.551335168,0.574315056,0.641260778,0.783299133,0.913798157
9.24,0.435094515,0.447710369,0.465389117,0.490124378,0.551462292,0.573530278,0.641745414,0.784122578,0.914808303
9.3,0.435780727,0.44722298,0.467145042,0.487108414,0.551820552,0.574470261,0.641734058,0.783834113,0.916263721
9.36,0.436305128,0.445311007,0.468345506,0.490273476,0.552319834,0.575192502,0.642622941,0.786331364,0.917583655
9.42,0.433975661,0.44649863,0.468996046,0.490692712,0.552108911,0.57632097,0.643544721,0.787044435,0.918495621
9.48,0.438744409,0.445717153,0.468836637,0.490985742,0.552066023,0.577204389,0.644414723,0.787214418,0.917931289
9.54,0.440889955,0.447637264,0.465648912,0.491027282,0.55155144,0.576092451,0.644909799,0.788913796,0.918859754
9.6,0.439895442,0.449390838,0.469747305,0.491494892,0.553828132,0.578039442,0.64598745,0.791025723,0.92239185
9.66,0.441356376,0.448775435,0.469036445,0.492171197,0.554397,0.578394856,0.645881583,0.792443741,0.922750638
9.72,0.441090404,0.446317185,0.468745401,0.492222316,0.555415884,0.578113039,0.645182803,0.793083998,0.924319186
9.78,0.436723705,0.447507012,0.470332573,0.490851243,0.556002247,0.578124869,0.646505426,0.794704649,0.925401471
9.84,0.441116645,0.442219787,0.467239562,0.492862129,0.555810209,0.578754161,0.647937187,0.795167154,0.925508019
9.9,0.441074279,0.447517163,0.470865535,0.493112908,0.555861461,0.579379965,0.649788029,0.796829701,0.927741855
9.96,0.440010527,0.450642449,0.471919059,0.493190301,0.556503973,0.58031995,0.650907985,0.798024898,0.928446407
10.02,0.44322278,0.449460688,0.466737946,0.493887638,0.555602518,0.578384141,0.650471716,0.798818971,0.928225708
10.08,0.442614571,0.450585072,0.472177866,0.491629025,0.557544665,0.580636094,0.651592377,0.800958819,0.929003604
10.14,0.44242916,0.450272708,0.473349537,0.495540806,0.558429185,0.581326774,0.652569695,0.801184726,0.929015128
10.2,0.444423707,0.450038152,0.471608464,0.495257863,0.55838658,0.582315697,0.653678394,0.802566431,0.931266996
10.26,0.443135565,0.452436512,0.473670299,0.494975287,0.557867398,0.581990851,0.653839601,0.803491366,0.931662283
10.32,0.443892629,0.451204768,0.472565145,0.496333066,0.55836757,0.583036925,0.655318114,0.804283467,0.932843382
10.38,0.44479956,0.452657027,0.47341066,0.496292856,0.559419209,0.582977442,0.655404846,0.806199763,0.933538112
10.44,0.443810806,0.453216888,0.473869092,0.495929828,0.559994786,0.583682702,0.656476282,0.80743098,0.934415828
10.5,0.442911008,0.452786613,0.470276983,0.497407681,0.558056858,0.583553817,0.6572991,0.807837881,0.934749799
10.56,0.442941572,0.451762914,0.474534142,0.49803619,0.558418495,0.583138503,0.656147696,0.809005384,0.93536729
10.62,0.441656055,0.453417444,0.475447325,0.497690053,0.560442489,0.584406707,0.658728567,0.810239827,0.936407196
10.68,0.446021916,0.446174162,0.47544524,0.499048391,0.561518579,0.584692683,0.659666931,0.812327266,0.937953212
10.74,0.44722275,0.451780511,0.474230414,0.49929807,0.561675194,0.584728487,0.66080532,0.813182561,0.938814331
10.8,0.44697662,0.455287024,0.473221841,0.499468337,0.561237592,0.58502047,0.661608832,0.814301721,0.939586596
10.86,0.447455871,0.454213897,0.476042955,0.499889343,0.561786824,0.58497407,0.66148905,0.815537611,0.940434609
10.92,0.447843391,0.455238954,0.476598997,0.500925544,0.562038394,0.586559428,0.662325488,0.816859637,0.94081104
10.98,0.44673711,0.455347328,0.476721723,0.500709382,0.562117254,0.586832647,0.663796264,0.818125846,0.941651655
11.04,0.448123364,0.453513926,0.474984053,0.499487414,0.562275725,0.586362931,0.663869085,0.819057278,0.941872351
11.1,0.443463235,0.45553398,0.476718916,0.50067543,0.564212396,0.58677236,0.66463015,0.820778879,0.942405
11.16,0.44689069,0.454418108,0.474898898,0.501229369,0.564576842,0.587942491,0.664674299,0.821783245,0.942181588
11.22,0.44938172,0.453623308,0.473988123,0.499797253,0.564617903,0.587489029,0.662613099,0.823622965,0.943660342
11.28,0.448296429,0.457114672,0.477246479,0.502043992,0.564047036,0.58715377,0.66665886,0.823613376,0.943829973
11.34,0.448849656,0.455570153,0.477236938,0.502086484,0.562398241,0.588550003,0.667725202,0.823811375,0.943570112
11.4,0.44860492,0.457176866,0.478703917,0.503166932,0.565630286,0.589316044,0.66886615,0.82549524,0.945072174
11.46,0.445373252,0.458368373,0.478970344,0.503560297,0.56608039,0.590855346,0.669068433,0.827241355,0.945872475
11.52,0.448530336,0.451861787,0.476503677,0.503611376,0.566018013,0.589711813,0.668196866,0.827027387,0.945219159
11.58,0.447758476,0.457067405,0.479507384,0.501818775,0.566066352,0.59091035,0.669571428,0.83000875,0.945607954
11.64,0.446052784,0.457630263,0.479683428,0.504367981,0.567264078,0.591143753,0.670965644,0.830303924,0.946292955
11.7,0.450558267,0.457059439,0.480379217,0.505143373,0.567953078,0.591587301,0.671573525,0.832384008,0.947444591
11.76,0.449955194,0.458678337,0.480619954,0.50578909,0.567485039,0.5920312,0.671846283,0.833267661,0.947095731
11.82,0.448391095,0.458839046,0.480055653,0.505714247,0.568123167,0.590865715,0.67178426,0.834901285,0.949338259
11.88,0.451921363,0.454905978,0.481067394,0.505422329,0.568973757,0.592824063,0.673165208,0.836300406,0.950088621
11.94,0.451773409,0.459698374,0.481026552,0.504065993,0.568191739,0.592995182,0.674324534,0.837035746,0.953116529
12,0.452289658,0.459774995,0.476039646,0.506331515,0.567828528,0.59307188,0.673467446,0.837080887,0.953673783
12.06,0.451976379,0.459633697,0.479377243,0.503624193,0.568432737,0.593578151,0.675033563,0.838496262,0.953649107
12.12,0.451969117,0.461171677,0.480021502,0.506712009,0.569486969,0.59372129,0.676298512,0.839914598,0.953333796
12.18,0.451432835,0.459215266,0.481923291,0.507734178,0.569228381,0.594952552,0.677832157,0.841410756,0.954121581
