time,S_mixed_0Hz,S_mixed_1Hz_Pi,S_mixed_2Hz_Pi,S_mixed_4Hz_Pi,S_mixed_8Hz_Pi,S_mixed_12Hz_Pi,S_mixed_16Hz_Pi,S_mixed_20Hz_Pi,S_mixed_30Hz_Pi,S_mixed_1Hz_0,S_mixed_2Hz_0,S_mixed_4Hz_0,S_mixed_8Hz_0,S_mixed_12Hz_0,S_mixed_16Hz_0,S_mixed_20Hz_0,S_mixed_30Hz_0
3.06,0.354693402,0.589520814,0.661961388,0.707228534,0.630499111,0.637091767,0.548802825,0.485648727,0.3996911,0.476882683,0.607729732,0.52775008,0.533767211,0.708987447,0.472895427,0.438671134,0.392576187
3.12,0.353577802,0.591797179,0.666024479,0.718829476,0.639343071,0.643865267,0.550752494,0.48747634,0.403887028,0.476368035,0.602765405,0.529271851,0.537863373,0.713581331,0.482411672,0.439960328,0.391421058
3.18,0.359143937,0.593709844,0.668133761,0.723915776,0.645516933,0.648254098,0.556100631,0.493039939,0.405035415,0.482638326,0.607658211,0.532047337,0.545115874,0.718478851,0.491008337,0.447176841,0.395389616
3.24,0.357354518,0.597697058,0.666623302,0.729198429,0.654446549,0.652902336,0.559463845,0.495504276,0.405622076,0.48155876,0.613170925,0.536692522,0.556572727,0.723169572,0.497961525,0.443361975,0.392152732
3.3,0.361752065,0.601845276,0.674831863,0.734151493,0.662901998,0.65862349,0.563985857,0.495270243,0.411955717,0.481620489,0.621627179,0.553913421,0.546822897,0.728408119,0.499155867,0.452514705,0.401759144
3.36,0.364685797,0.605237013,0.679501038,0.737407683,0.667991611,0.663200111,0.566108211,0.502542808,0.413692962,0.491726565,0.640971321,0.559837059,0.546280881,0.727859001,0.506385613,0.457775597,0.406698432
3.42,0.367308307,0.610254921,0.684686835,0.73888204,0.67416667,0.666477275,0.568972852,0.504035636,0.414610765,0.494349055,0.643961804,0.563592479,0.550423498,0.734920652,0.508190486,0.456162955,0.409427344
3.48,0.369091892,0.612616344,0.687175559,0.749442962,0.680653786,0.670632893,0.57174321,0.506233206,0.419410743,0.5073379,0.646198961,0.575448689,0.56640036,0.7434172,0.512738148,0.464509893,0.412281733
3.54,0.367293846,0.614975724,0.693488359,0.756911128,0.686813753,0.675055895,0.571267632,0.509978269,0.419893317,0.518693271,0.64668916,0.582474939,0.561775876,0.746467685,0.517383531,0.461604563,0.41377399
3.6,0.368472038,0.620518542,0.697745318,0.761421285,0.690387441,0.679196422,0.576875366,0.510817868,0.419354803,0.525567013,0.641268806,0.587077842,0.565469313,0.752203243,0.517165042,0.468819531,0.410058922
3.66,0.373820132,0.623691562,0.700060646,0.767137749,0.694071793,0.68282753,0.579601447,0.512527932,0.425783601,0.539035391,0.637627268,0.590276911,0.574314368,0.758738039,0.518030303,0.474077693,0.416892088
3.72,0.374464945,0.625781972,0.701711678,0.769029961,0.697306704,0.685478761,0.582002548,0.516387741,0.428939983,0.542290696,0.641727928,0.594051478,0.580562741,0.761767774,0.520765854,0.472284265,0.41527178
3.78,0.377720315,0.629901523,0.701348857,0.771057526,0.704474507,0.689860398,0.584838195,0.51945149,0.430133874,0.545847509,0.650770014,0.601991209,0.575366477,0.765016504,0.527203336,0.481650991,0.421209476
3.84,0.379531161,0.633805078,0.71031562,0.775090405,0.707948953,0.692748601,0.58751088,0.51784164,0.4283403,0.547693624,0.667895438,0.613652777,0.576746559,0.77011719,0.536191898,0.479051811,0.425139382
3.9,0.379325817,0.637977104,0.71236006,0.781081467,0.713222875,0.695803197,0.589641579,0.523632812,0.42296061,0.548782536,0.673326114,0.618268166,0.582111805,0.77270495,0.536075562,0.482842312,0.427688287
3.96,0.380936932,0.641921087,0.716914411,0.786560608,0.716228394,0.701309699,0.590994779,0.525316933,0.42708966,0.547079097,0.67563943,0.625813292,0.590162459,0.776460669,0.538131838,0.487354908,0.424981742
4.02,0.383449972,0.644990282,0.721535073,0.794304675,0.718360892,0.705266995,0.586079393,0.527335014,0.434994285,0.549879171,0.675266466,0.633317701,0.593650976,0.775731211,0.540151128,0.487335954,0.429994798
4.08,0.378854737,0.648954247,0.72575183,0.799505972,0.718637756,0.708109529,0.593133965,0.529979512,0.441878736,0.549280193,0.669338348,0.636676588,0.593706865,0.779974343,0.550851782,0.495353785,0.429137773
4.14,0.384051501,0.65170906,0.728703997,0.802638239,0.721663601,0.711312388,0.599534276,0.52993511,0.444190872,0.549769532,0.6696144,0.636428672,0.595628729,0.785270069,0.555580615,0.494481681,0.435159088
4.2,0.385962333,0.65250804,0.731198002,0.80536531,0.729948536,0.714410478,0.601336366,0.532884271,0.445676428,0.553121966,0.668035235,0.638523661,0.601475564,0.787221749,0.555483804,0.499816993,0.438146466
4.26,0.386600817,0.65451577,0.733913793,0.811121923,0.741444809,0.716989714,0.603741922,0.535669337,0.44299782,0.551119779,0.672652671,0.6435933,0.599683557,0.792411647,0.55756775,0.504259135,0.439033187
4.32,0.390073808,0.658088697,0.737343894,0.813663724,0.746419948,0.719084521,0.605271499,0.534248113,0.442330259,0.557484032,0.687116973,0.656928706,0.593305398,0.797329409,0.552759135,0.500775644,0.438370196
4.38,0.392048351,0.659547981,0.739684386,0.816698617,0.752420691,0.72268666,0.606445009,0.535846036,0.440936932,0.559265955,0.694453327,0.661145947,0.594784808,0.799301847,0.558355802,0.506413665,0.442090931
4.44,0.392406743,0.662983949,0.744774708,0.820881335,0.755149392,0.724871886,0.605405452,0.539643316,0.44866474,0.570298639,0.695582663,0.664043326,0.602005827,0.801673248,0.564159517,0.504538967,0.441937921
4.5,0.393813735,0.665692292,0.747091751,0.826538888,0.758201478,0.727354465,0.602642798,0.542513759,0.454024971,0.574956767,0.696551797,0.673064384,0.609989993,0.805456823,0.573671487,0.509343245,0.444979959
4.56,0.390728698,0.668823771,0.750848562,0.831852936,0.762352648,0.728613921,0.607132606,0.544149137,0.456536431,0.582629552,0.694936042,0.676430229,0.6040123,0.807207485,0.575566766,0.51340264,0.448383454
4.62,0.390756115,0.671134892,0.754277884,0.834279665,0.76595301,0.732351304,0.614745806,0.546483327,0.458090489,0.597158247,0.686467952,0.678672312,0.611990694,0.807902392,0.579665545,0.517118414,0.448450167
4.68,0.39666097,0.671783147,0.757637915,0.837871266,0.770045732,0.734799989,0.617206343,0.549219369,0.459038994,0.600491922,0.685460468,0.681777684,0.616603292,0.808902508,0.582589077,0.521396271,0.446589881
4.74,0.391718838,0.673705446,0.760903563,0.841150223,0.773478211,0.737737197,0.619089643,0.550724389,0.457108052,0.601590229,0.69046693,0.686433445,0.621896201,0.811072396,0.580620071,0.520327345,0.448001031
4.8,0.397771445,0.675951095,0.763225491,0.841234916,0.775439833,0.740002411,0.6192389,0.552601688,0.459399123,0.602506132,0.699301436,0.69612774,0.614355278,0.814904147,0.582363172,0.520555163,0.448733577
4.86,0.400673838,0.679141875,0.765222193,0.846947048,0.780502726,0.741895179,0.619938518,0.553540736,0.463808942,0.602776647,0.708110739,0.702229399,0.62337549,0.816591337,0.5775007,0.525128119,0.4545174
4.92,0.397736883,0.684017134,0.76821115,0.854058013,0.785365382,0.7460157,0.620030334,0.556223886,0.465388945,0.605119068,0.709869097,0.701969192,0.627388262,0.822068772,0.583441007,0.523323038,0.457955998
4.98,0.401451749,0.686740875,0.770185358,0.856797917,0.789301059,0.748569762,0.623458628,0.557967909,0.464476548,0.605673577,0.710848199,0.709718202,0.630383148,0.82514871,0.590146261,0.530667636,0.457886093
5.04,0.40250551,0.688309001,0.775162725,0.860889481,0.792194157,0.750520052,0.624641076,0.558813926,0.467331417,0.60571915,0.706800501,0.715625951,0.630066608,0.826110951,0.595065983,0.533056945,0.457241765
5.1,0.401599466,0.691338101,0.778508169,0.864568946,0.797002002,0.752130066,0.62550673,0.560459991,0.467189549,0.607542887,0.704088634,0.717230565,0.633124955,0.829216046,0.599638544,0.528558796,0.455414069
5.16,0.406206224,0.693682165,0.780635069,0.866720935,0.800609232,0.754799581,0.625409308,0.561545437,0.469697886,0.602391731,0.702679964,0.71752013,0.633311042,0.831119157,0.593714506,0.536176395,0.460579638
5.22,0.403903649,0.694074982,0.782103003,0.868369334,0.804191459,0.757972785,0.626330675,0.560131058,0.471091471,0.603370625,0.703013958,0.720592987,0.638744062,0.833325201,0.59831179,0.539018138,0.464759143
5.28,0.403611009,0.695574047,0.784254307,0.871877064,0.807386599,0.759490716,0.628592748,0.563394458,0.47055877,0.605432136,0.710884661,0.726516952,0.63608432,0.834515802,0.604217534,0.540032977,0.465753948
5.34,0.408203632,0.697139962,0.787499764,0.874389869,0.812329943,0.762870224,0.626559271,0.559770714,0.469568221,0.608250506,0.725412331,0.736204689,0.634986964,0.835924369,0.608588472,0.541536578,0.459197997
5.4,0.407299772,0.699632792,0.790654801,0.87698128,0.814222369,0.765898482,0.631910092,0.567658576,0.473569782,0.611102539,0.727875961,0.739799168,0.638300908,0.837359015,0.611576265,0.537534721,0.462596945
5.46,0.408362672,0.699754797,0.794870878,0.880986595,0.816739264,0.767614729,0.633521546,0.569733794,0.47377748,0.616162258,0.728543004,0.746004181,0.64521965,0.837948147,0.605073867,0.537969211,0.461936221
5.52,0.408108786,0.700715015,0.798017664,0.884497737,0.81842813,0.769819765,0.634717674,0.571386364,0.475616369,0.623789553,0.728997349,0.752059879,0.640234814,0.839593638,0.603501732,0.540894885,0.466852924
5.58,0.407741906,0.705406586,0.802228609,0.886928306,0.821822379,0.77270601,0.632224796,0.572049486,0.479257277,0.633798763,0.724230073,0.755988285,0.636830989,0.841986579,0.608285594,0.541532719,0.471025715
5.64,0.410525234,0.706303465,0.804617037,0.88892637,0.82440794,0.774540897,0.638082795,0.573503794,0.480266579,0.643471653,0.720626062,0.756306796,0.645335524,0.845456569,0.615516026,0.544459604,0.469103395
