phase_combined,theta_t_combined,theta_t_combined_fit,phase_natural,theta_t_Natural,theta_t_Natural_fit,phase_induced,theta_t_induced,theta_t_induced_fit
-0.358141563,-30.005884,-26.09449915,-0.163428791,-10.656324,-10.174767,2.632654644,7.627415,6.344628
-0.35499997,-29.440389,-26.22264209,-0.158867199,-10.783851,-10.183328,2.657787385,7.289594,6.42496
-0.351858377,-29.224414,-26.35019411,-0.154308748,-10.988537,-10.191678,2.682920126,7.074635,6.501236
-0.348716785,-29.160013,-26.47714302,-0.149747155,-11.278507,-10.199816,2.708052867,7.01015,6.573406
-0.345575192,-29.159885,-26.60347671,-0.145185563,-11.650819,-10.207741,2.733185609,6.793872,6.641425
-0.342433599,-29.274026,-26.72918308,-0.14062397,-12.104822,-10.215454,2.75831835,6.703508,6.705251
-0.339292007,-29.428515,-26.85425007,-0.136062378,-12.615194,-10.222955,2.783451091,6.450318,6.764842
-0.336150414,-29.643777,-26.97866566,-0.131503927,-13.293621,-10.230242,2.808583832,6.178194,6.820162
-0.333008821,-30.188519,-27.10241788,-0.126942334,-13.647976,-10.237317,2.833716574,1.612453,6.871175
-0.329867229,-30.565661,-27.2254948,-0.122380742,-13.846045,-10.244179,2.858849315,1.345663,6.917849
-0.326725636,-30.882443,-27.34788452,-0.117819149,-13.889438,-10.250828,2.883982056,1.138372,6.960155
-0.323584043,-31.156067,-27.4695752,-0.113257557,-13.753597,-10.257264,2.909114797,1.001763,6.998066
-0.320442451,-31.215783,-27.59055503,-0.108699106,-13.468543,-10.263486,2.934247538,0.895522,7.031558
-0.317300858,-31.402773,-27.71081227,-0.104137513,-13.111666,-10.269494,2.95938028,0.724201,7.06061
-0.314159265,-31.644516,-27.8303352,-0.099575921,-12.606498,-10.275289,2.984513021,0.62402,7.085203
-0.311017673,-31.935471,-27.94911216,-0.095014328,-12.223044,-10.28087,3.009645762,0.637167,7.105322
-0.30787608,-32.188967,-28.06713155,-0.090452736,-11.82703,-10.286237,3.034778503,0.846698,7.120955
-0.304734487,-32.395069,-28.1843818,-0.085894285,-11.440891,-10.29139,3.059911245,1.084837,7.132091
-0.301592895,-32.557298,-28.30085141,-0.081332692,-11.088194,-10.296329,3.085043986,1.417731,7.138724
-0.298451302,-32.750868,-28.41652892,-0.0767711,-10.760746,-10.301053,3.110176727,1.807384,7.140848
