time,theta_t
1.226,0.173187
1.227,0.049197
1.228,-0.124406
1.229,-0.28264
1.23,-0.421981
1.231,-0.492006
1.232,-0.48804
1.233,-0.594798
1.234,-0.501769
1.235,-0.367898
1.236,0.065237
1.237,0.498373
1.238,1.002589
1.239,1.54393
1.24,1.956548
1.241,2.296033
1.242,2.52495
1.243,2.552215
1.244,2.303892
1.245,2.073247
1.246,1.77543
1.247,1.454149
1.248,1.083049
1.249,0.699148
1.25,0.339357
1.251,0.033195
1.252,0.074044
1.253,0.194473
1.254,0.212943
1.255,0.370266
1.256,0.580503
1.257,0.90949
1.258,1.206469
1.259,1.610159
1.26,2.08341
1.261,2.514508
1.262,2.802946
1.263,3.04064
1.264,3.158889
1.265,3.193447
1.266,3.191778
1.267,2.943943
1.268,2.740245
1.269,2.504981
1.27,2.220441
1.271,2.006685
1.272,1.822945
1.273,1.759483
1.274,1.684784
1.275,1.545794
1.276,1.317839
1.277,1.163204
1.278,1.077556
1.279,0.964468
1.28,0.766051
1.281,0.466685
1.282,-0.009604
1.283,-0.515912
1.284,-0.90307
1.285,-1.124623
1.286,-1.175867
1.287,-1.183472
1.288,-1.163811
1.289,-1.060107
1.29,-0.800268
1.291,-0.331728
1.292,0.311679
1.293,0.925536
1.294,1.428325
1.295,1.787292
1.296,2.129178
1.297,2.448735
1.298,2.788107
1.299,3.043494
1.3,3.187244
1.301,3.108117
1.302,2.872911
1.303,2.640634
1.304,2.536515
1.305,2.488331
1.306,2.34817
1.307,2.144015
1.308,1.874806
1.309,1.658565
1.31,1.53768
1.311,1.473548
1.312,1.393595
1.313,1.346182
1.314,1.250159
1.315,1.085233
1.316,0.878176
1.317,0.700449
1.318,0.426309
1.319,0.226685
1.32,0.028416
1.321,-0.083691
1.322,-0.026194
1.323,0.022118
1.324,0.371921
1.325,0.260792
1.326,0.383399
1.327,0.407319
1.328,0.303392
1.329,0.102329
1.33,0.061754
1.331,-0.454178
1.332,-0.530273
1.333,-0.443496
1.334,-0.381676
1.335,-0.163193
1.336,-0.093742
1.337,-0.086906
1.338,-0.101014
1.339,-0.116288
1.34,0.061225
1.341,0.057347
1.342,0.093191
1.343,0.082414
1.344,-0.005782
1.345,-0.080059
1.346,-0.038395
1.347,0.135153
1.348,0.393632
1.349,0.664578
1.35,0.814576
1.351,0.878163
1.352,0.645145
